S.NO,PRICE,ADDRESS,AREA,LATITUDE,LONGITUDE,BEDROOMS,BATHROOMS,BALCONY,STATUS,NEWOROLD,PARKING,FURNISHED_STATUS,LIFT,LANDMARKS,TYPE_OF_BUILDING,PRICE_SQFT,AREA_TYPE,Zone_Raw
39,4000000,"Amritpuri B East of Kailash, Amritpuri, New Delhi - South, Delhi NCR",700,28.558586,77.2511855,2,2,2,Ready to Move,Resale,1,Unfurnished,2,Not Mentioned,Flat,5714.285714,Small,New Delhi - South
40,3500000,"Shalimar Garden Exten 1 near Gulmohar park, Shalimar garden, Ghaziabad, Delhi NCR",750,28.68956947,77.33861542,2,2,2,Ready to Move,Resale,1,Semi-Furnished,0,Gulmohar Park,Flat,4666.666667,Small,Ghaziabad
41,3500000,"205. Hardik tower sector 53 Noida, Sector 53, Noida, Delhi NCR",950,28.5905383,77.35981,2,2,1,Ready to Move,Resale,1,Semi-Furnished,1,Near by kanchanjungha sector 61 Noida,Individual House,3684.210526,Small,Noida
42,2400000,"Gali No-15 Sadnagar Palam New Delhi-110045, Palam Colony, New Delhi - Dwarka, Delhi NCR",540,28.5922718,77.0836792,2,2,1,Ready to Move,New Property,1,Semi-Furnished,0,Palam metro station half an hour distance,Flat,4444.444444,Small,New Delhi - Dwarka
43,80000000,"Central park the resorts sector 48 gurgaon, Sector 48, Gurgaon, Delhi NCR",5571,28.424904,77.03476,5,5,3,Ready to Move,Resale,4,Semi-Furnished,2,Near By Raheja Mall,Individual House,14360.07898,Very Large,Gurgaon
44,9500000,"Patel Nagar West, New Delhi - West, Delhi NCR",1200,28.652429,77.1643181,2,2,2,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Flat,7916.666667,Medium,New Delhi - West
45,10500000,"Sector 65, Gurgaon, Delhi NCR",1020,28.3978564,77.07393158,2,2,2,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Flat,10294.11765,Medium,Gurgaon
46,7500000,"G 033., Sector 108, Gurgaon, Delhi NCR",1505,28.512136,76.986899,2,2,2,Ready to Move,Resale,1,Semi-Furnished,2,Near Dwarka expressway. Near Shobha and Experion projects,Flat,4983.388704,Large,Gurgaon
47,4800000,"Ghaziabad, Vivekanand Nagar, Ghaziabad, Delhi NCR",1232,28.65280724,77.4509201,6,3,2,Ready to Move,Resale,1,Unfurnished,2,Not Mentioned,Flat,3896.103896,Medium,Ghaziabad
48,5600000,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",929,28.436305,77.13605,2,2,1,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Flat,6027.987083,Small,Gurgaon
49,8500000,"Vaishali, Ghaziabad, Delhi NCR",1350,28.647938,77.340697,3,3,2,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Flat,6296.296296,Large,Ghaziabad
50,4700000,"Indirapuram Ghaziabad, Indirapuram, Ghaziabad, Delhi NCR",1085,28.646509,77.38148828,2,2,2,Ready to Move,Resale,1,Semi-Furnished,2,DSP school,Flat,4331.797235,Medium,Ghaziabad
51,8500000,"Sector 108, Gurgaon, Delhi NCR",1790,28.512136,76.986899,3,3,2,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Flat,4748.603352,Very Large,Gurgaon
52,10000000,"Sector 104, Gurgaon, Sector 104, Gurgaon, Delhi NCR",1689,28.487018,76.998009,3,3,4,Ready to Move,New Property,1,Semi-Furnished,3,Bang on 150 mtr wide Dwarka Expressway . closer to Delhi n Airport,Flat,5920.663114,Very Large,Gurgaon
53,18000000,"Sector 67, Gurgaon, Sector 67, Gurgaon, Delhi NCR",2411,28.391644,77.06486457,3,3,3,Ready to Move,Resale,2,Semi-Furnished,2,sector 67,Flat,7465.781833,Very Large,Gurgaon
54,12400000,"2nd floor metro view apartment sector 13 B dwarka, Sector 13 Dwarka, New Delhi - Dwarka, Delhi NCR",1650,28.6016823,77.03193279,3,2,2,Ready to Move,Resale,2,Semi-Furnished,0,near by vegas mall sector 14,Flat,7515.151515,Large,New Delhi - Dwarka
55,7700000,"Sector 137, Noida, Sector 137, Noida, Delhi NCR",1685,28.50920801,77.40662554,3,4,4,Ready to Move,Resale,1,Unfurnished,2,Sector 137 Metro Station,Flat,4569.732938,Very Large,Noida
56,6000000,"Vaishali, Ghaziabad, Delhi NCR",1050,28.648794,77.34253225,2,2,2,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Flat,5714.285714,Medium,Ghaziabad
57,12500000,"sector 6 dwarka, Sector 6 Dwarka, New Delhi - Dwarka, Delhi NCR",1300,28.59344,77.065951,2,2,2,Ready to Move,Resale,2,Semi-Furnished,2,near by sector 9 Metro Station,Flat,9615.384615,Large,New Delhi - Dwarka
58,6380000,"Chhatarpur New Delhi, Chhattarpur, New Delhi - South, Delhi NCR",1170,28.49589348,77.18599701,3,2,1,Ready to Move,New Property,1,Semi-Furnished,1,Nearby SKY MANSION BUILDING CSKM PUBLIC SCHOOL Chhatarpur Metro statio,Flat,5452.991453,Medium,New Delhi - South
59,7400000,"Sohna Road, Gurgaon, Sector 33, Gurgaon, Delhi NCR",1275,28.28709602,77.06906128,2,2,2,Ready to Move,New Property,1,Semi-Furnished,2,On main sohna roadjust before central park flower valleyg. D. Goenka,Flat,5803.921569,Large,Gurgaon
60,8400000,"Sector 84, Gurugram, Haryana, Sihi, Gurgaon, Delhi NCR",1890,28.410466,76.962531,3,3,4,Ready to Move,Resale,1,Semi-Furnished,2,"Schools,Hospials,Multiplex,Malls & Banks,5/4 Star Hotels in Vacinity",Flat,4444.444444,Very Large,Gurgaon
61,6400000,"Sector 76, Noida, Sector 76, Noida, Delhi NCR",1455,28.570142,77.386273,3,2,3,Ready to Move,Resale,1,Semi-Furnished,2,"Near Prateek Wisteria Sector-77 Noida,      4 km Noida City Centre Metro Station",Individual House,4398.62543,Large,Noida
62,19000000,"Dwarka, New Delhi - Dwarka, Delhi NCR",1768,28.59343183,77.04427276,3,2,2,Ready to Move,Resale,2,Semi-Furnished,2,Opposite Bensups hospital; 500 meters walk from Metro station.,Flat,10746.60633,Very Large,New Delhi - Dwarka
63,4300000,"sector 1 greater noida west, Greater Noida West, Greater Noida, Delhi NCR",1295,28.566914,77.436434,2,2,4,Ready to Move,Resale,2,Semi-Furnished,2,"Near ATS Chowk, near Ace city ' sector 1 greater noida west",Individual House,3320.46332,Large,Greater Noida
64,23800000,"Ibiza Town, Suraj Kund Road, Faridabad, Suraj Kund, Faridabad, Delhi NCR",3500,28.4818021,77.2200217,4,5,3,Ready to Move,Resale,1,Semi-Furnished,2,Near Surajkund international Carft,Flat,6800,Very Large,Faridabad
65,10500000,"Plot No:1, Sadarpur, Sector-45, Noida, Uttar Pradesh 201303, Sector 45, Noida, Delhi NCR",1850,28.548787,77.346032,3,4,2,Ready to Move,Resale,2,Semi-Furnished,3,Near by NRI Residency sector 45 Noida,Flat,5675.675676,Very Large,Noida
66,10800000,"Sector 32 Sohna Gurgaon Haryana, Sohna, Gurgaon, Delhi NCR",1966,28.247592,77.069185,2,2,1,Ready to Move,Resale,1,Semi-Furnished,2,Near By G D Goenka University,Flat,5493.387589,Very Large,Gurgaon
67,5500000,"Indirapuram, Ghaziabad, Delhi NCR",1350,28.6493479,77.3696259,2,2,2,Ready to Move,Resale,1,Furnished,2,Not Mentioned,Flat,4074.074074,Large,Ghaziabad
68,4320000,"Sector 137, Noida, Sector 137, Noida, Delhi NCR",1040,28.509118,77.413416,2,2,3,Ready to Move,New Property,1,Semi-Furnished,2,"located on noida expresswaynear by sector 137 metro station, noida",Flat,4153.846154,Medium,Noida
69,3000000,"Sai Enclave niti khand indirapuram, Niti Khand-Indirapuram, Ghaziabad, Delhi NCR",800,28.6452824,77.3621025,2,2,1,Ready to Move,Resale,1,Semi-Furnished,0,Near Hathi Park,Flat,3750,Small,Ghaziabad
70,3500000,"Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",950,28.579593,77.445197,2,2,3,Ready to Move,Resale,1,Semi-Furnished,3,Ace City,Flat,3684.210526,Small,Greater Noida
71,16000000,"F-54., South City 2, Gurgaon, Delhi NCR",2000,28.4178669,77.0512457,4,4,3,Ready to Move,Resale,2,Semi-Furnished,2,Right next to South Patio club,Flat,8000,Very Large,Gurgaon
72,3000000,"NH 24 Ghaziabad, NH 24, Ghaziabad, Delhi NCR",900,28.685449,77.5092258,2,2,3,Ready to Move,Resale,1,Semi-Furnished,2,Columbia Hospital,Individual House,3333.333333,Small,Ghaziabad
73,3300000,"Park Lotus Surajpur Greater Noida, Surajpur, Greater Noida, Delhi NCR",960,28.51284137,77.48955332,2,2,1,Ready to Move,Resale,1,Semi-Furnished,1,Near by Surajpur Police chowki Greater Noida,Flat,3437.5,Small,Greater Noida
74,8200000,"Gurgaon - Faridabad Road, Gurgaon, Gwal Pahari, Gurgaon - South, Delhi NCR",1371,28.433653,77.152919,2,2,3,Ready to Move,New Property,2,Semi-Furnished,2,"very close golf course road sec- 56, and south delhi, faridabad",Flat,5981.03574,Large,Gurgaon - South
75,6000000,"Unitech Horizon Greater Noida, PI 2, Greater Noida, Delhi NCR",1750,28.475274,77.545978,3,3,1,Ready to Move,Resale,2,Semi-Furnished,2,Near by GAIL society pI1 Greater Noida,Flat,3428.571429,Very Large,Greater Noida
76,4100000,"NH 24 Ghaziabad, NH 24, Ghaziabad, Delhi NCR",1299,28.519997,77.376873,3,2,4,Ready to Move,Resale,1,Semi-Furnished,2,Columbia Asia Hospital.,Flat,3156.274057,Large,Ghaziabad
77,5200000,"plot no -02 E sector 12  Graeter noida west, Greater Noida West, Noida, Delhi NCR",1365,28.60595894,77.44451141,3,2,3,Ready to Move,Resale,2,Furnished,2,Rajiv Palaya chowk.,Flat,3809.52381,Large,Noida
78,21000000,"godrej golf links, the crest, Pari Chowk, Greater Noida, Delhi NCR",2800,28.4655907,77.5114027,4,5,4,Ready to Move,Resale,1,Unfurnished,2,"It is close to metro stn. Alpha 1 and market, banks",Flat,7500,Very Large,Greater Noida
79,2650000,"Sector 4, Greater Noida, Greater Noida West, Greater Noida, Delhi NCR",835,28.609898,77.436343,2,2,2,Ready to Move,Resale,1,Unfurnished,2,1.7 KM from Gaur Chowk and 0.7 KM from purported Metro Station,Flat,3173.652695,Small,Greater Noida
80,10000000,"Paschim Vihar, New Delhi - West, Delhi NCR",1000,28.6677244,77.0979515,2,2,2,Ready to Move,Resale,1,Unfurnished,2,Not Mentioned,Individual House,10000,Medium,New Delhi - West
81,4500000,"A33 Shishram park Uttam Nagar, Uttam Nagar East, New Delhi - West, Delhi NCR",1000,28.63472366,77.04911041,3,2,1,Ready to Move,Resale,1,Semi-Furnished,2,New Holy Public School,Flat,4500,Medium,New Delhi - West
82,6900000,"B1 1103 The Romano sector 118 Noida, Sector 118, Noida, Delhi NCR",1260,28.58548927,77.39931488,2,2,3,Ready to Move,Resale,1,Unfurnished,2,Near by Amrapali zodiac sector 120 Noida,Flat,5476.190476,Large,Noida
83,13500000,"Sector 99, Gurgaon, Delhi NCR",2425,28.44456311,76.9550119,4,4,2,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Flat,5567.010309,Very Large,Gurgaon
84,4500000,"Pratap vihar Ghaziabad, Pratap Vihar, Ghaziabad, Delhi NCR",1198,28.63336372,77.43121338,3,2,1,Ready to Move,Resale,1,Furnished,2,Dominos Pizza,Flat,3756.260434,Medium,Ghaziabad
85,32500000,"Sultanpur, New Delhi, Sultanpur, New Delhi - South, Delhi NCR",3000,28.4969141,77.1652546,3,3,2,Ready to Move,Resale,2,Semi-Furnished,1,Near Sultanpur Metro Station,Flat,10833.33333,Very Large,New Delhi - South
86,11000000,"Sector 71, Gurgaon, Delhi NCR",1743,28.419032,77.028272,3,3,2,Ready to Move,New Property,1,Semi-Furnished,2,Not Mentioned,Individual House,6310.958118,Very Large,Gurgaon
87,3200000,"Gali no 4, behind Aman bakery, Mahavir Enclave Part 1, New Delhi - Dwarka, Delhi NCR",650,28.59803581,77.07652283,2,2,1,Ready to Move,Resale,1,Unfurnished,2,Not Mentioned,Flat,4923.076923,Small,New Delhi - Dwarka
88,3200000,"greater noida, Jalvayu Vihar, Greater Noida, Delhi NCR",815,28.446343,77.515305,2,2,2,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Flat,3926.380368,Small,Greater Noida
89,3400000,"Bhopura, Ghaziabad, Delhi NCR",1050,28.7005505,77.3286995,2,2,2,Ready to Move,Resale,1,Unfurnished,2,Not Mentioned,Flat,3238.095238,Medium,Ghaziabad
90,11100000,"Ashoka Enclave Part 1, Faridabad, Delhi NCR",2100,28.46847725,77.31389618,4,3,2,Ready to Move,Resale,1,Furnished,2,Not Mentioned,Flat,5285.714286,Very Large,Faridabad
91,3500000,"Sector 5 Rajendra Nagar, Ghaziabad, Delhi NCR",900,28.6809994,77.356998,2,2,1,Ready to Move,Resale,1,Unfurnished,2,Not Mentioned,Flat,3888.888889,Small,Ghaziabad
92,12500000,"Unitech Fresco Nirvana Country Sector 50, Gurgaon, Nirvana Country, Gurgaon, Delhi NCR",1836,28.414627,77.060127,3,3,3,Ready to Move,Resale,2,Semi-Furnished,3,Nirvana countryHibiscusGolf EstateDPS International school,Flat,6808.278867,Very Large,Gurgaon
93,8500000,"Plot No. GH 03/A, Sector 143, Noida, Uttar Pradesh 201306, Sector 143A, Noida, Delhi NCR",1495,28.502597,77.428742,3,2,2,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Flat,5685.618729,Large,Noida
94,4200000,"Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1040,28.616204,77.422256,2,2,2,Ready to Move,Resale,1,Semi-Furnished,3,14th avenue gaur city 2 Noida extension sector 16c  Gautam Budh Nagar,Flat,4038.461538,Medium,Noida
95,82000000,"Golf Course Road, Gurgaon, Golf Course Road, Gurgaon, Delhi NCR",5495,28.43618253,77.10430584,5,6,2,Ready to Move,Resale,3,Semi-Furnished,3,the property is close to rapid metro and opposite to centrum plaza,Flat,14922.65696,Very Large,Gurgaon
96,9000000,"panchwati appartments, Vikaspuri, New Delhi - West, Delhi NCR",1250,28.64015875,77.0662659,2,2,2,Ready to Move,Resale,1,Semi-Furnished,2,near Gurudwara h block vikaspuri,Individual House,7200,Medium,New Delhi - West
97,14000000,"B-31/S-1, B- Block, Dilshad Garden, Shahdara, Delhi-110095, Dilshad Garden, New Delhi - East, Delhi NCR",2500,28.68651581,77.29942322,3,2,1,Ready to Move,Resale,2,Semi-Furnished,2,Nearby GTB Hospital. 1.5 km from the Jhilmil Metro Station,Flat,5600,Very Large,New Delhi - East
98,8900000,"Sector 37D, Gurgaon, Delhi NCR",1815,28.45251307,76.97627035,3,3,2,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Flat,4903.581267,Very Large,Gurgaon
99,3200000,"Raj Nagar Extension, Ghaziabad, Delhi NCR",1041,28.70183798,77.42320672,2,2,3,Ready to Move,Resale,1,Semi-Furnished,2,Not Mentioned,Flat,3073.967339,Medium,Ghaziabad
100,15000000,"S Block, Sector 49, Gurgaon, Delhi NCR",2000,28.412109,77.049522,4,4,3,Ready to Move,Resale,2,Semi-Furnished,0,"Sohna Road, Omaxe Mall",Flat,7500,Very Large,Gurgaon
101,9200000,"Sector-82, Mapsko Casa Bella, Sector 82, Gurgaon, Delhi NCR",1960,28.393665,76.962842,3,3,3,Ready to Move,Resale,123,Semi-Furnished,2,"The property is nearby to NH-8, and running project of metro.",Individual House,4693.877551,Very Large,Gurgaon
102,11500000,"sector 84, Sihi, Gurgaon, Delhi NCR",1963,28.406752,76.96474017,3,3,3,Ready to Move,Resale,2,Semi-Furnished,2,Near to DPS 84 and Matri Kiran School. In close proximity to malls.,Flat,5858.380031,Very Large,Gurgaon
103,6000000,"Sector 119, Noida -201301, Sector 119, Noida, Delhi NCR",1246,28.58632879,77.40106202,2,2,3,Ready to Move,Resale,1,Semi-Furnished,2,Near by Tripathi Hospital sector 119 Noida,Individual House,4815.40931,Medium,Noida
104,3900000,"omicran near Parichowk supertech Czar, Omicron, Greater Noida, Delhi NCR",1085,28.473679,77.506258,2,2,3,Ready to Move,Resale,1,Semi-Furnished,3,Near by Gaur Atulyam omicron Greater Noida,Flat,3594.470046,Medium,Greater Noida
105,3600000,"Ajanra le Garden, sector 16, greater noida, dist. Gautam budh nagar. U.P., Greater Noida West, Greater Noida, Delhi NCR",995,28.606945,77.45557857,2,2,3,Ready to Move,Resale,1,Semi-Furnished,2,"Sector 16, circle 4, gautam budh nagar",Individual House,3618.090452,Medium,Greater Noida
106,49000000,"Sector 27, Greater Noida, Noida, Uttar Pradesh, Sector 27, Greater Noida, Delhi NCR",6168,28.470149,77.535673,5,5,3,Ready to Move,Resale,3,Semi-Furnished,2,"Property is very close to Pari Chowk, Metro Station, Expressway",Flat,7944.228275,Very Large,Greater Noida
107,7500000,"Sector 77, Gurgaon, Delhi NCR",1260,28.3824895,76.9823169,2,2,2,Ready to Move,New Property,1,Semi-Furnished,2,Near Toll Plaza,Individual House,5952.380952,Large,Gurgaon
108,18000000,"Eastend Aptts, Mayur Vihar 1, New Delhi - East, Delhi NCR",1700,28.5884566,77.304787,4,3,1,Ready to Move,Resale,1,Semi-Furnished,2,nearby New Ashok Nagar Metro station,Individual House,10588.23529,Very Large,New Delhi - East
109,17200000,"Sector 10 Dwarka, New Delhi - Dwarka, Delhi NCR",2025,28.58584227,77.06062479,3,2,4,Ready to Move,Resale,2,Semi-Furnished,2,near inderprastha international school,Flat,8493.82716,Very Large,New Delhi - Dwarka
110,17000000,"Moti Nagar, New Delhi - West, Delhi NCR",1600,28.66662979,77.15222168,3,2,2,Ready to Move,Resale,2,Semi-Furnished,3,Near by CTC mall,Flat,10625,Large,New Delhi - West
111,5500000,"sector 12 gurgaon, Sector 12, Gurgaon, Delhi NCR",1150,28.4974556,77.02713776,3,2,1,Ready to Move,Resale,1,Semi-Furnished,1,near BSNL office,Flat,4782.608696,Medium,Gurgaon
112,13000000,"Kumar Excellency plaza, Sector 11 Vasundhara, Ghaziabad, Delhi NCR",2300,28.65584564,77.3682251,4,4,3,Ready to Move,Resale,1,Unfurnished,2,Sunrise Mall,Flat,5652.173913,Very Large,Ghaziabad
